Number,Title,Description,Latitude,Longtitude
997,test,Test site for AFMS,53.3989,-6.34177
999,M99 1999.9 N,Test Site,53.43876,-6.46914
1011,TMU N01 000.0 N,M01 Airport Link Road Between R132 Swords Road and Jn2 Dublin Airport,53.42808,-6.22453
1012,TMU M50 000.0 N,M50 Between Jn02 Santry and Jn03 M50/M1,53.40305,-6.2335
1013,TMU N01 040.0 S,N01 South of M50 Jn02 Santry Whitehall,53.38807,-6.24237
1014,TMU M01 000.0 N,M01 Between Jn01 M50/M01 and Jn02 Dublin Airport,53.4178,-6.22294
1015,TMU M01 010.0 S,M01 Between Jn04 Donabate and Jn05 Balbriggan (South) Donabate,53.50218,-6.19982
1016,TMU M1 046.9 S,Monasterboice Between J11 & J10 @ VMS,53.7698,-6.41008
1017,TMU M01 006.0 N,M1 Between Juction 3 & 4 Northbound at VMS,53.45947,-6.20431
1021,TMU N02 080.0 N,N02 Between Carrickmacross and Castleblaney Donaghmoyne Co. Monaghan,54.0103,-6.71235
1022,TMU N02 070.0 N,N02 Between Ardee and Carrickmacross Drumgeeny Co. Monaghan,53.92964,-6.64804
1023,TMU N02 020.0 N,N02 Between Ashbourne and Slane Crickstown Co. Meath,53.54228,-6.42853
1024,TMU N02 110.0 N,N02 Between Castleblaney and Monaghan Town Clontibert Co. Monaghan,54.20615,-6.84583
1025,TMU N02 035.0 S,N02 Between Slane and Ashbourne South of L1600,53.68196,-6.54012
1027,TMU N02 045.0,N2 Between Slane and Collon Co Meath,53.72804,-6.51722
1031,TMU N03 130.0 N,N03 Between Belleek  and Ballyshannon Templenew Co. Donegal,54.4844,-8.12508
1032,TMU N03 070.0 N,N03 Between Virginia and Kells Co. Cavan,53.78017,-7.00942
1033,TMU N03 005.0 S,N03 Between Jn03 Clonsilla and Jn04 Clonee  Clonee Co. Dublin,53.40748,-6.42042
1034,"TMU N03 000.0 N ""DATA ADVISEMENT""",N03 Between Jn02 Blanchardstown and Jn03 Clonsilla Blanchardstown Co. Dublin ,53.39369,-6.38519
1035,TMU N03 110.0 N,N03 Between R188 Jn and Dublin Road Roundabout Cavan Bypass Co. Cavan,54.00773,-7.34263
1036,TMU N03 115.0 S ,N03 Between  Staghall Roundabout  and Butlers Bridge Belturbet Bypass Co Cavan,54.09774,-7.46021
1037,TMU R147 000.0 S,R147 (Old N03) Between Dunshaughlin and Dunboyne Black Bull Co. Meath,53.4486,-6.47488
1038,M3 WIM J8 to J9,M3 WIM Between J8 to J9,53.62394,-6.71433
1041,TMU N04 190.0 E,N04 Between the N59/N4 roundabout (Belladrihid) and Carrowroe Exit Co. Sligo,54.23255,-8.49203
1042,TMU N04 170.0 E,N04 Between Castlebaldwin and Boyle Dromdoney Co. Sligo,54.07138,-8.36554
1043,TMU N04 090.0 E,N04 Between Edgeworthstown and Mullingar Loughlanstown Co. Longford,53.66783,-7.53782
1044,TMU N04 000.0 E,N04 Between Jn03 Newcastle and Jn04 Lucan Lucan Co. Dublin,53.35114,-6.44254
1045,TMU R148 040.0 W,R148 East of Kinnegad Ardnamullen Co. Meath,53.44971,-7.06698
1046,TMU N04 151.0 E,N04 Between Boyle and Carrick on Shannon,53.9585,-8.17967
1051,TMU N05 130.0 E,N05 Between Westport and Castlebar Doon Co. Mayo,53.80634,-9.44985
1052,TMU N05 110.0 W,N05 Between Turlough and Castlebar Gortnafolla Co. Mayo,53.86279,-9.27769
1053,TMU N05 080.0 E,N05 Between Swinford and Charlestown Cloonaghboy Co. Mayo,53.9486,-8.8926
1054,TMU N05 010.0 E,N05 Between Strokestown and LongfordTermonbarry Co. Roscommon,53.74647,-7.93814
1055,TMU N05 60.0 E,N5 Ballaghaderreen Bypass,53.90929,-8.549
1056,TMU N05 62.50 W,N5 Ballaghaderreen Bypass,53.91459,-8.56383
1057,TMU N5 001.0 W,N5 Between N4 to N5 link Longford Bypass,53.73893,-7.81461
1058,TMU N05 100.0W,N05 Between Bohola and Swinford,53.89222,-9.13503
1065,TMU N06 061.0 W,N6 Between Juction 10 & 11 west,53.43262,-7.92972
1069,TMU N06 146.0 E,N06 Between N84 and N17,53.28958,-9.0355
1070,TMU N07 001.0 E,N07 Between Jn01 M50 and Jn1a Newlands Cross (R113) Dublin,53.31607,-6.37874
1071,TMU N07 005.0 E,N07 Between Jn02 Kingswood and Jn03 Citywest Kingswood Co. Dublin,53.29789,-6.42507
1072,TMU N07 000.0 W,N07 Between Jn01a Newlands Cross and Jn02 Kingswood Co. Dublin,53.30487,-6.41113
1073,N07 E06.5,N7 Eastbound citywest at VMS,53.29027,-6.44723
1081,TMU N08 150.0 S,N08 Between Dunkettle Interchange and Cork City Tivoli Co. Cork,51.90461,-8.41296
1085,TMU M08 088.3 N,M8 Between Juct. 12 & 10 Northbound,52.31214,-8.14263
1086,TMU M08 100.0 S,M08 Between Jn12 Mitchelstown (North) and Jn13 Mitchelstown (South) Co. Cork,52.27027,-8.23993
